product,rating,price,img_url,brand,customer_say,gender,individual_review
Adidas Fortarun 20 Cloudfoam Lace,4.5,43.0,https://m.media-amazon.com/images/I/61BuM-r7P0L._AC_SX395_SY395_QL70_FMwebp_.jpg,Adidas,"Customers find these running shoes to be well-made, comfortable, and easy for children to put on, with good durability and value for money. They appreciate the style, particularly the colors, and one customer mentions the nice wide toe box. The size receives mixed feedback - while some say they fit true to size, others find them too short. The velcro closure is problematic, with customers reporting that it doesn't stay in place.",Unisex,"Amazing quality and my four year old said she’s now as fast as Cat boy! If you know, you know! The Velcro strap has lasted longer than expected and still holding on strong. The shoe gives a wide toe range so my daughter never complains her feet hurt providing amazing comfort. She loved the color of purple!"
Adidas Mens Lightblaze,5.0,27.0,https://m.media-amazon.com/images/I/8195tyJbBvL._AC_SY395_SX395_QL70_ML2_.jpg,Adidas,No summary available.,Men,solid daily use shoe
Adidas Mens Lightshift,4.8,40.0,https://m.media-amazon.com/images/I/7114rduvMKL._AC_SY395_SX395_QL70_ML2_.jpg,Adidas,"Customers find these walking shoes comfortable and well-made, with a great fit and lightweight design. They appreciate the appearance, with one customer noting they don't look orthopedic, and consider them good value for the price.",Men,Fits great. Comfy. Quality and appearance is great. Bought another color as well.
Adidas Mens Run Falcon 5,4.5,56.0,https://m.media-amazon.com/images/I/71eXwqTa5BL._AC_SX395_SY395_QL70_ML2_.jpg,Adidas,"Customers find these running shoes comfortable, with one mentioning they're a life saver for walking and running. They receive positive feedback for their quality, style, arch support, and value for money. The fit and durability receive mixed reviews - while some say they fit as expected, others find them too narrow, and one customer reports durability issues after three months of wear.",Men,"Very good shoes, 100% recommended.⭐️⭐️⭐️⭐️⭐️ Outstanding Trail Sneakers!I couldn"
Adidas Mens XPLR Path,4.7,60.0,https://m.media-amazon.com/images/I/71wGLUKuCJL._AC_SX395_SY395_QL70_FMwebp_.jpg,Adidas,"Customers find these shoes comfortable, well-fitting, and lightweight. They appreciate the classic styling and consider them good value for money.",Men,Can’t go wrong with adidas. Bought it for my son they are comfortable and the style goes with everything. They are not heavy. Well made
Adidas UnisexAdult Ultraboost 10,4.7,111.0,https://m.media-amazon.com/images/I/71t9NM04iyL._AC_SX395_SY395_QL70_ML2_.jpg,Adidas,"Customers find these shoes to be of high quality and very comfortable. The colors match expectations, and customers consider them worth their price point.",Unisex,I bought these Addidas Ultraboost for my son. He loves them. They are comfortable. He has multiple Ultraboots and they last a long time. They are very durable. He wears them everywhere. The color is perfect as well as the traction. No worry with him wearing them out too soon. Great shoes.
Adidas Womens Swift Run 22,4.2,48.0,https://m.media-amazon.com/images/I/81JNKz52U7L._AC_SX395_SY395_QL70_FMwebp_.jpg,Adidas,"Customers find these sneakers comfortable, nice-looking, and great for work, with good value for money and appealing colors. The fit and sizing receive mixed feedback - while some say they run true to size, others find them too big through the toes and note they make feet look at least a size bigger. The shoes are extremely difficult to get on, with customers describing them as snug around the ankles.",Women,Loved this off white color! Went perfectly with a similar colored top I have. It’s heavier than the cloudfoams but still not a heavy shoe. The fabric upper makes it a comfortable shoe and worked well despite not being the wide width I usually buy.
Adidas Womens Ultrarun 5,4.4,,https://m.media-amazon.com/images/I/51T8JiM-LrL._AC_SY395_SX395_QL70_FMwebp_.jpg https://m.media-amazon.com/images/I/61gCdU6O51L._AC_SY395_SX395_QL70_ML2_.jpg,Adidas Adidas,"Customers find these running shoes comfortable and stylish. They appreciate the shoes' traction, with one customer noting they're great for trail running and hiking. No summary available.",Women Women,"These shoes are comfortable to run it, in fact they are my shoe of choice if I will be doing a lot of running. They are very pretty and cute in person but even cooler in photos 😍😍😍"
NIKE Mens Air Flight Lite Mid,4.5,60.0,https://m.media-amazon.com/images/I/512Mto6qPNL._AC_SY395_SX395_QL70_FMwebp_.jpg,Nike,"Customers find these basketball shoes to be of high quality, comfortable, and appreciate the white with black color pattern. They offer good value for money and are versatile, with one customer noting they can be worn anywhere with anything. The fit receives mixed feedback, with some finding them excellent while others say they run small. The sturdiness and box quality also get mixed reviews.",Men,My kid loves them they are comfortable and look great they are breathable true to size they have great traction and can be worn pretty much anywhere with anything.
NIKE Mens Backboard II Mid Basketball,4.3,60.0,https://m.media-amazon.com/images/I/31jfKTgVx9L._AC_SY395_SX395_QL70_FMwebp_.jpg,Nike,"Customers find these running shoes to be of great quality, with a nice look and perfect fit. They are comfortable and offer good value for money. The durability receives mixed feedback, with one customer reporting issues with the shoe coming apart at the toe area.",Men,I love this shoe! they are comfortable. they look amazing the fit is correct and they are leather so they will last a long time.
