product,rating,price,brand,gender,sentence_vector
Adidas Fortarun 2.0 Cloudfoam Lace,4.5,43.0,Adidas,Unisex,"  (0, 83)	0.1269665960042622
  (0, 84)	0.14286146986760226
  (0, 106)	0.051661977960152046
  (0, 220)	0.09517968584922223
  (0, 223)	0.17173037921491063
  (0, 280)	0.19941431142934293
  (0, 306)	0.15397155483564978
  (0, 332)	0.18716397627073572
  (0, 348)	0.1371393487872443
  (0, 359)	0.09031748959304897
  (0, 360)	0.0343993991932554
  (0, 379)	0.1784722251528642
  (0, 464)	0.08145428631748236
  (0, 479)	0.13139593322305831
  (0, 556)	0.1385379577798247
  (0, 581)	0.06483492050087718
  (0, 593)	0.09470388004694928
  (0, 655)	0.10339563116482081
  (0, 693)	0.14790868228074092
  (0, 707)	0.044157475718006385
  (0, 732)	0.04311254007769604
  (0, 766)	0.06027810189456341
  (0, 829)	0.04772713695190628
  (0, 931)	0.09199642395200433
  (0, 958)	0.10468148666860008
  :	:
  (0, 1460)	0.17173037921491063
  (0, 1527)	0.16156452871939408
  (0, 1544)	0.0956631048666084
  (0, 1553)	0.18716397627073572
  (0, 1557)	0.04936621240796063
  (0, 1576)	0.17173037921491063
  (0, 1595)	0.04733089462962918
  (0, 1637)	0.06151145861186336
  (0, 1697)	0.045239849757194105
  (0, 1718)	0.11732094469333174
  (0, 1765)	0.19941431142934293
  (0, 1773)	0.07168929277195266
  (0, 1783)	0.14790868228074092
  (0, 1800)	0.10065766657439841
  (0, 1923)	0.13302946855917105
  (0, 1940)	0.15753013887638548
  (0, 1952)	0.15397155483564978
  (0, 1960)	0.07041375444252153
  (0, 2091)	0.1722607594830903
  (0, 2144)	0.06609024235474395
  (0, 2202)	0.06166922943521991
  (0, 2210)	0.30157658587686376
  (0, 2294)	0.08003521103816608
  (0, 2311)	0.16183911677398444
  (0, 2362)	0.10743002100782943"
Adidas Men's Lightblaze,5.0,27.0,Adidas,Men,"  (0, 473)	0.5846642269588559
  (0, 1773)	0.18697093324041725
  (0, 1854)	0.6552709829417184
  (0, 2195)	0.4402607758504101"
Adidas Men's Lightshift,4.8,40.0,Adidas,Men,"  (0, 103)	0.40262157531552806
  (0, 106)	0.11772548008927515
  (0, 259)	0.19233558359188757
  (0, 348)	0.15625413807773392
  (0, 360)	0.07838812884656146
  (0, 369)	0.23854445302163052
  (0, 397)	0.1915748199243147
  (0, 464)	0.09280756700267333
  (0, 515)	0.19791017491911758
  (0, 559)	0.22750511628579384
  (0, 732)	0.19648664952122732
  (0, 829)	0.10875890418449659
  (0, 849)	0.3269595073378525
  (0, 1114)	0.16045636218241657
  (0, 1143)	0.15358870541633093
  (0, 1314)	0.10990449486454115
  (0, 1364)	0.4544182487128012
  (0, 1515)	0.195465595825118
  (0, 1557)	0.11249397110577052
  (0, 1773)	0.08168150680707978
  (0, 2202)	0.1405296492441064
  (0, 2235)	0.1659671754491426
  (0, 2294)	0.18238139567134037"
Adidas Men's Run Falcon 5,4.5,56.0,Adidas,Men,"  (0, 111)	0.13192177171647462
  (0, 360)	0.05772363083720535
  (0, 423)	0.33462555645041053
  (0, 464)	0.06834184991260335
  (0, 581)	0.2175914175318489
  (0, 655)	0.1735021943263522
  (0, 707)	0.07409809144424888
  (0, 732)	0.14468929145640907
  (0, 829)	0.08008813232030931
  (0, 1026)	0.1495417406301008
  (0, 1105)	0.2643421628136182
  (0, 1205)	0.11440004381170467
  (0, 1231)	0.08337131084857577
  (0, 1241)	0.10850180213570695
  (0, 1242)	0.17677421678641908
  (0, 1264)	0.13286066432147078
  (0, 1382)	0.29948385963201435
  (0, 1493)	0.11815722549301572
  (0, 1557)	0.08283856950114694
  (0, 1595)	0.15884644225594835
  (0, 1602)	0.1724568222036457
  (0, 1637)	0.10321880068955988
  (0, 1661)	0.12538499491358196
  (0, 1697)	0.15182872071945483
  (0, 1716)	0.33462555645041053
  (0, 1718)	0.09843472647449425
  (0, 1773)	0.12029763216794462
  (0, 1835)	0.33462555645041053
  (0, 1960)	0.11815722549301572
  (0, 1989)	0.10510172935965281
  (0, 2064)	0.1034835467309995
  (0, 2123)	0.20864389114474832
  (0, 2202)	0.1034835467309995
  (0, 2235)	0.12221529085701913
  (0, 2265)	0.10705729554263703"
Adidas Men's X_PLR Path,4.7,60.0,Adidas,Men,"  (0, 40)	0.2620390044883308
  (0, 106)	0.11894333007796522
  (0, 259)	0.19432526236087155
  (0, 320)	0.2955559684783794
  (0, 360)	0.1583980813078039
  (0, 397)	0.19355662872306584
  (0, 829)	0.10988399647658655
  (0, 900)	0.3189611914054636
  (0, 1114)	0.1621162558496237
  (0, 1169)	0.2128077436760058
  (0, 1241)	0.14886864380729095
  (0, 1773)	0.08252648804704375
  (0, 1858)	0.28069961813243716
  (0, 1960)	0.1621162558496237
  (0, 1964)	0.4109033688659716
  (0, 2202)	0.14198340446865737
  (0, 2293)	0.228582240100871
  (0, 2357)	0.4109033688659716"
Adidas Unisex-Adult Ultraboost 1.0,4.7,111.0,Adidas,Unisex,"  (0, 37)	0.28261972314377937
  (0, 259)	0.13365709801757708
  (0, 348)	0.21716703959494038
  (0, 360)	0.10894634913621086
  (0, 397)	0.13312843107937414
  (0, 464)	0.06449347462386237
  (0, 583)	0.1398941120279747
  (0, 656)	0.28261972314377937
  (0, 849)	0.07573647771241514
  (0, 911)	0.1749092085195349
  (0, 1138)	0.14500230528200325
  (0, 1156)	0.11083920418731734
  (0, 1182)	0.19893123075963828
  (0, 1257)	0.1895198487974049
  (0, 1427)	0.10673126766694235
  (0, 1481)	0.21629403442171463
  (0, 1515)	0.1358321939828706
  (0, 1557)	0.07817387423418322
  (0, 1773)	0.11352359202239401
  (0, 1858)	0.19306546106471623
  (0, 1859)	0.2719436718375861
  (0, 2083)	0.1580969733163467
  (0, 2120)	0.17127374858055763
  (0, 2164)	0.2719436718375861
  (0, 2165)	0.3157825675048117
  (0, 2265)	0.20205765522027797
  (0, 2350)	0.2719436718375861
  (0, 2351)	0.16473944628813314"
Adidas Women's Ultrarun 5,4.4,60.0,Adidas,Women Women,"  (0, 106)	0.09172636943682301
  (0, 308)	0.26772615395188376
  (0, 360)	0.12215296910385698
  (0, 416)	0.35406214634805966
  (0, 464)	0.07231145858113555
  (0, 466)	0.18357999900222816
  (0, 677)	0.3323115511743708
  (0, 849)	0.08491735331555658
  (0, 921)	0.24251348221895272
  (0, 1154)	0.20879267073515922
  (0, 1314)	0.08563261148790775
  (0, 1438)	0.26772615395188376
  (0, 1442)	0.3323115511743708
  (0, 1513)	0.2185730495987436
  (0, 1697)	0.24097144569041634
  (0, 1701)	0.20533059417591704
  (0, 1773)	0.2545701428054785
  (0, 1965)	0.1442072735126723
  (0, 2064)	0.10949434662417121
  (0, 2120)	0.19203577801863986
  (0, 2123)	0.22076288704526378"
Adidas Womens Swift Run 22,4.2,48.0,Adidas,Women,"  (0, 93)	0.14141197725173588
  (0, 101)	0.18980240333258738
  (0, 183)	0.24895161619698436
  (0, 259)	0.10404504708429825
  (0, 337)	0.24582018158226004
  (0, 348)	0.1690531606248235
  (0, 350)	0.24582018158226004
  (0, 360)	0.08480902394011848
  (0, 464)	0.05020479049296209
  (0, 519)	0.20490352416763524
  (0, 530)	0.18980240333258738
  (0, 670)	0.1371508842418425
  (0, 674)	0.17610688125764615
  (0, 707)	0.05443339859316303
  (0, 732)	0.05314529511151358
  (0, 766)	0.07430546908568174
  (0, 829)	0.05883375865967381
  (0, 849)	0.05895687925643013
  (0, 900)	0.34155448215700007
  (0, 1143)	0.08308469908806093
  (0, 1156)	0.08628251241051924
  (0, 1169)	0.22788176320127926
  (0, 1231)	0.06124562328396182
  (0, 1241)	0.07970680119572562
  (0, 1293)	0.18587836191354784
  (0, 1314)	0.05945347256813852
  (0, 1429)	0.1324301504854017
  (0, 1595)	0.05834530645724878
  (0, 1697)	0.05576765279460896
  (0, 1718)	0.07231139962122457
  (0, 1773)	0.1325582515145809
  (0, 1795)	0.1941891084231061
  (0, 1800)	0.18612269373454018
  (0, 1833)	0.07582584126975037
  (0, 1837)	0.15824568706497866
  (0, 2091)	0.10617385199716507
  (0, 2144)	0.0814701575830237
  (0, 2193)	0.16611567166587723
  (0, 2198)	0.17077724107850004
  (0, 2202)	0.07602032707253906
  (0, 2307)	0.1639868667530104
  (0, 2311)	0.09975041607429862
  (0, 2314)	0.14030013508630026
  (0, 2340)	0.21874937452688872"
NIKE Men's Air Flight Lite Mid,4.5,60.0,Nike,Men,"  (0, 106)	0.0873555984220455
  (0, 165)	0.2731905871073019
  (0, 190)	0.2195578553832461
  (0, 220)	0.1609399938460396
  (0, 233)	0.22494045510058658
  (0, 348)	0.11594494010430342
  (0, 360)	0.11633236746000931
  (0, 464)	0.06886581008176484
  (0, 644)	0.14624305133209262
  (0, 707)	0.07466618330271221
  (0, 732)	0.07289929434924938
  (0, 829)	0.08070214835019497
  (0, 849)	0.16174206524996942
  (0, 911)	0.18676717924888153
  (0, 1058)	0.23777946753501283
  (0, 1143)	0.11396711453065571
  (0, 1156)	0.11835354862945396
  (0, 1231)	0.16802099640287865
  (0, 1241)	0.10933365878977842
  (0, 1314)	0.08155220867125819
  (0, 1334)	0.17377900628046586
  (0, 1416)	0.31647687130350677
  (0, 1513)	0.2081580211215105
  (0, 1557)	0.16694734491402802
  (0, 1595)	0.08003213944714145
  (0, 1661)	0.12634629085785692
  (0, 1697)	0.07649637710564132
  (0, 1718)	0.09918940133332377
  (0, 1773)	0.06060996227610092
  (0, 1800)	0.08510137480755703
  (0, 1827)	0.13019570120923155
  (0, 1958)	0.25009982123441515
  (0, 2120)	0.18288525328385002
  (0, 2144)	0.11175245119747027
  (0, 2202)	0.10427692965405391
  (0, 2215)	0.21706529047667075
  (0, 2265)	0.2157561550392562
  (0, 2307)	0.22494045510058658"
NIKE Men's Backboard II Mid Basketball,4.3,60.0,Nike,Men,"  (0, 83)	0.25553011472846343
  (0, 99)	0.1887277940839193
  (0, 112)	0.27120769544438356
  (0, 358)	0.19981405556396142
  (0, 360)	0.13846291385409257
  (0, 418)	0.32516113575519495
  (0, 464)	0.08196653207562035
  (0, 581)	0.13048530239752032
  (0, 707)	0.088870342211606
  (0, 732)	0.1735346565000345
  (0, 829)	0.09605456210365987
  (0, 849)	0.09625557416334792
  (0, 1026)	0.1793544935596013
  (0, 1091)	0.25835881511065084
  (0, 1138)	0.1842874209562075
  (0, 1143)	0.2712954116898262
  (0, 1156)	0.14086859543918137
  (0, 1231)	0.09999227755168012
  (0, 1241)	0.13013280232232824
  (0, 1292)	0.17479189708886786
  (0, 1334)	0.20683794288406918
  (0, 1427)	0.1356477058449131
  (0, 1557)	0.09935332849194768
  (0, 1595)	0.09525709372017781
  (0, 1638)	0.27489404181726595
  (0, 1697)	0.09104870385251716
  (0, 1773)	0.21642038673941272
  (0, 2083)	0.2009297949904247
  (0, 2091)	0.17334406457761792
  (0, 2202)	0.12411410377788405"
NIKE Men's Low,3.5,75.0,Nike,Men,"  (0, 369)	0.7184537277879468
  (0, 849)	0.328248081097754
  (0, 1241)	0.44377526207144974
  (0, 2202)	0.4232504637406334"
NIKE Men's RunAllDay,4.5,115.0,Nike,Men Men,"  (0, 106)	0.12408492128312934
  (0, 159)	0.4495419683796284
  (0, 360)	0.08262259614555179
  (0, 369)	0.1257152217738661
  (0, 464)	0.19564192284070517
  (0, 686)	0.29864198953295795
  (0, 732)	0.15532553203778635
  (0, 849)	0.1148738706920032
  (0, 1297)	0.2755325823550047
  (0, 1314)	0.11584145236517124
  (0, 1334)	0.24684570542109877
  (0, 1503)	0.2777656062457071
  (0, 1515)	0.20602449914094104
  (0, 1557)	0.23714162030005284
  (0, 1639)	0.23948278902063386
  (0, 1697)	0.10865985813225931
  (0, 1773)	0.2582816396609598
  (0, 1959)	0.30833203559509886
  (0, 1965)	0.19507965149104903"
NIKE Women's Tanjun,4.5,80.0,Nike,Women,"  (0, 28)	0.20096494695272854
  (0, 73)	0.26116628021170385
  (0, 106)	0.09122092364140255
  (0, 229)	0.29350239641213893
  (0, 348)	0.12107529132548979
  (0, 360)	0.12147986163202801
  (0, 458)	0.14962948159783881
  (0, 464)	0.14382599207028368
  (0, 701)	0.21527628674130647
  (0, 708)	0.1277993082419172
  (0, 732)	0.076124954593257
  (0, 829)	0.08427307059111662
  (0, 849)	0.08444942768571745
  (0, 869)	0.19364554529066288
  (0, 1114)	0.1243314323400486
  (0, 1116)	0.2524602742036572
  (0, 1205)	0.1203779222770791
  (0, 1314)	0.08516074452431613
  (0, 1356)	0.2241882834615247
  (0, 1435)	0.2662508850660671
  (0, 1453)	0.27187165496149535
  (0, 1544)	0.16891487954772622
  (0, 1697)	0.0798812016727782
  (0, 1773)	0.06329184208646198
  (0, 1833)	0.10861241266124311
  (0, 1848)	0.18146840899424974
  (0, 1960)	0.1243314323400486
  (0, 2064)	0.10889099278532102
  (0, 2145)	0.2379429437029077
  (0, 2195)	0.1490334086644216
  (0, 2235)	0.12860154851052275
  (0, 2266)	0.27815514111260337
  (0, 2340)	0.15666754854048373"
NIKE Women's W Zoom Bella 6 Trainers,4.6,79.0,Nike,Women,"  (0, 360)	0.06389285744151373
  (0, 398)	0.3189690778002511
  (0, 657)	0.3703887413955402
  (0, 707)	0.0820173423720976
  (0, 708)	0.13443319531197215
  (0, 732)	0.16015299346657566
  (0, 832)	0.25029423604835244
  (0, 849)	0.08883308182363608
  (0, 1143)	0.1251875941445277
  (0, 1156)	0.13000588873734523
  (0, 1205)	0.1266265753652659
  (0, 1231)	0.09228163927842888
  (0, 1297)	0.213072026614698
  (0, 1368)	0.3314912674753188
  (0, 1447)	0.25369631963487604
  (0, 1493)	0.13078530672128355
  (0, 1530)	0.25029423604835244
  (0, 1557)	0.0916919610743591
